id;account_number;account_type;balance;created_at;updated_at
1;12289;CURRENT;3190;2024-07-05T15:57:04;2024-07-05T13:44:36
2;29240;SAVING;12494;2024-07-05T15:26:25;2024-07-06T02:30:54
3;30855;SAVING;50;2024-07-06T04:45:19;2024-07-05T22:36:17
4;19847;SAVING;1235;2024-07-05T12:21:38;2024-07-06T06:22:17
5;6532;SAVING;22462;2024-07-06T07:25:27;2024-07-06T06:01:39
6;23917;SAVING;12677;2024-07-05T13:20:32;2024-07-05T19:26:00
7;30475;CURRENT;32051;2024-07-06T05:22:13;2024-07-06T00:11:17
8;28605;CURRENT;8390;2024-07-05T15:32:17;2024-07-05T16:42:44
9;29438;CURRENT;25166;2024-07-06T05:54:57;2024-07-06T03:14:58
10;23930;CURRENT;5322;2024-07-06T05:14:34;2024-07-05T23:47:30
